Entity 0, type 0, body type 0 hab_type 0 radius          0 name Coyote System
Entity 1, type 5, body type 6 hab_type 0 radius 17645725696 name Coyote I
Entity 2, type 0, body type 2 hab_type 0 radius   22578112 name Ottawa
Entity 3, type 1, body type 6 hab_type 43 radius   22578112 name Coyote MAAS Research Station 1
Entity 4, type 1, body type 6 hab_type 43 radius   22578112 name Coyote MAAS Research Station 3
Entity 5, type 1, body type 10 hab_type 54 radius   22578112 name Coyote MAAS Security Station
Entity 6, type 1, body type 8 hab_type 65 radius   22578112 name MAAS Docking Station
Entity 7, type 6, body type 255 hab_type 117 radius   22578112 name MAAS Gunstar Array
Entity 8, type 1, body type 8 hab_type 36 radius   22578112 name Ottawa Independent Waystation
Entity 9, type 1, body type 7 hab_type 21 radius   22578112 name Ottawa Maas Shipyard
Entity 10, type 1, body type 21 hab_type 43 radius   22578112 name Maas Research Asteroid
Entity 11, type 0, body type 2 hab_type 43 radius    4120853 name Pennacook
Entity 12, type 1, body type 7 hab_type 21 radius    4120853 name Jackson's Yard
Entity 13, type 0, body type 2 hab_type 21 radius    6420808 name Shawnee
Entity 14, type 2, body type 1 hab_type 0 radius    6420808 name Pennacook L-Point
Entity 15, type 1, body type 5 hab_type 33 radius    6420808 name Shawnee MAAS Luxuries Manufacturing Plant
Entity 16, type 1, body type 7 hab_type 21 radius    6420808 name Shawnee Independent Shipyard
Entity 17, type 1, body type 8 hab_type 36 radius    6420808 name Shawnee Independent Waystation
Entity 18, type 1, body type 10 hab_type 54 radius    6420808 name Shawnee MAAS Security Station
Entity 19, type 1, body type 18 hab_type 89 radius    6420808 name Shawnee Network 54 Transmittion Station
Entity 20, type 0, body type 2 hab_type 89 radius   10647281 name Chickasaw
Entity 21, type 1, body type 8 hab_type 122 radius   10647281 name Chickasaw Orbital Transfer Station
Entity 22, type 0, body type 3 hab_type 122 radius    6052315 name Tishomingo
Entity 23, type 2, body type 22 hab_type 0 radius    6052315 name Chickasaw L-Point
Entity 24, type 1, body type 3 hab_type 51 radius    6052315 name Tishomingo Independent Medicare Orbital
Entity 25, type 1, body type 2 hab_type 48 radius    6052315 name Tishomingo Exile Agricultural Settlement
Entity 26, type 1, body type 4 hab_type 97 radius    6052315 name Tishomingo Exile Ark
Entity 27, type 1, body type 3 hab_type 109 radius    6052315 name Tishomingo Exile Religious Centre
Entity 28, type 4, body type 72 hab_type 146 radius 6000000000 name Coyote Belt
Entity 29, type 1, body type 22 hab_type 59 radius 6000000000 name Padua
Entity 30, type 1, body type 15 hab_type 85 radius 6000000000 name Padua Independent Defense Station
Entity 31, type 1, body type 8 hab_type 65 radius 6000000000 name Padua Independent Docking Station
Entity 32, type 1, body type 22 hab_type 67 radius 6000000000 name Florence
Entity 33, type 1, body type 20 hab_type 6 radius 6000000000 name Clipper
Entity 34, type 1, body type 15 hab_type 85 radius 6000000000 name Clipper Independent Defense Station
Entity 35, type 1, body type 21 hab_type 59 radius 6000000000 name Chancellor
Entity 36, type 1, body type 15 hab_type 85 radius 6000000000 name Chancellor Independent Defense Station
Entity 37, type 1, body type 15 hab_type 1 radius 6000000000 name Saltlick
Entity 38, type 1, body type 21 hab_type 8 radius 6000000000 name Tailor
Entity 39, type 1, body type 15 hab_type 85 radius 6000000000 name Tailor Independent Defense Station
Entity 40, type 1, body type 15 hab_type 1 radius 6000000000 name Tinker
Entity 41, type 1, body type 20 hab_type 8 radius 6000000000 name Paragdim
Entity 42, type 1, body type 15 hab_type 85 radius 6000000000 name Paragdim Independent Defense Station
Entity 43, type 1, body type 15 hab_type 1 radius 6000000000 name Halladus
Entity 44, type 1, body type 23 hab_type 59 radius 6000000000 name Bellagio
Entity 45, type 1, body type 21 hab_type 59 radius 6000000000 name Janus
Entity 46, type 1, body type 15 hab_type 85 radius 6000000000 name Janus Independent Defense Station
Entity 47, type 1, body type 22 hab_type 104 radius 6000000000 name The Bishop
Entity 48, type 1, body type 21 hab_type 59 radius 6000000000 name Real Mcoy
Entity 49, type 1, body type 27 hab_type 115 radius 6000000000 name Big Bobs Head Sculpture Park
Entity 50, type 1, body type 15 hab_type 85 radius 6000000000 name Freelancer Independent Defense Station
Entity 51, type 0, body type 4 hab_type 85 radius  159080016 name Iroquois
Entity 52, type 1, body type 0 hab_type 10 radius  159080016 name Iroquois Independent Fusionable Gases Mine
Entity 53, type 0, body type 3 hab_type 10 radius   17373410 name Cayuga
Entity 54, type 0, body type 3 hab_type 10 radius   12832319 name Mohawk
Entity 55, type 1, body type 9 hab_type 93 radius   12832319 name Coyote Government System Administration
Entity 56, type 1, body type 8 hab_type 65 radius   12832319 name Mohawk Independent Docking Station
Entity 57, type 1, body type 7 hab_type 37 radius   12832319 name Mohawk Independent Repair Station
Entity 58, type 1, body type 10 hab_type 54 radius   12832319 name Mohawk Independent Security Station
