Center,sol_sys,,
Star,Sol,,

Planet,Mercury,,
Planet,Venus,,
Planet,Earth,,
Station,Salt Lake STC,SecurityStation,ANavy
Moon,Moon,,
Planet,Mars,,
Moon,Phobos,,
Moon,Deimos,,
Belt,Asteroids,,
Station,Belt Defense Station,DefenceDock,ANavy
Station,Belt Mining Station,CommonMetalsMine,Emerald
Giant,Jupiter,,
Moon,Io,,
Station,Io Research Station,Research,Emerald
Moon,Europa,,
Station,Europa Outpost,Fortress,Emerald
Giant,Saturn,,
Moon,Titan,,
Station,Titan Shipyard,Shipyard,Emerald
Giant,Uranus,,
Moon,Ariel,,
Station,Military Outpost,Fortress,ANavy
Giant,Neptune,,
Station,FTL Relay,FTLArray,Melman
Planet,Pluto,,


Lpoint,Io Lpoint,Jupiter,Io,2,huang,bedalov
Lpoint,Europa Lpoint,Jupiter,Europa,2,penda,providence
Lpoint,Titan Lpoint,Saturn,Titan,2,penda,providence
